,Date,Latitude,Longitude,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet
334,1928-11-16,21.0283,105.8542,64.4000015258789,6.900000095367432,0,2.200000047683716,40.10000228881836,18.10000038146973,21.5,25.0,21.0,7.569999695000001
335,1928-12-16,21.0283,105.8542,68.4000015258789,6.5,0,2.0,4.5,17.20000076293945,20.39999961853027,23.70000076293945,18.80000114440918,2.559999942997685
336,1929-01-16,21.0283,105.8542,72.9000015258789,6.0,0,1.899999976158142,10.0,15.60000038146973,18.60000038146973,21.60000038146973,17.20000076293945,6.849999905
337,1929-02-15,21.0283,105.8542,80.5999984741211,4.800000190734863,0,2.0,63.90000152587891,15.80000019073486,18.20000076293945,20.60000038146973,17.60000038146973,17.19000053399305
338,1929-03-16,21.0283,105.8542,79.20000457763672,5.5,0,2.5,31.0,18.39999961853027,21.10000038146973,23.89999961853027,20.39999961853027,13.78999996199074
339,1929-04-16,21.0283,105.8542,79.5999984741211,5.099999904632568,0,2.799999952316284,76.80000305175781,21.5,24.0,26.60000038146973,26.0,12.68999957998843
340,1929-05-16,21.0283,105.8542,73.4000015258789,6.0,0,3.700000047683716,257.0,26.10000038146973,29.10000038146973,32.10000228881836,32.29999923706055,17.05999946599537
341,1929-06-16,21.0283,105.8542,73.4000015258789,7.0,0,3.799999952316284,182.6000061035156,27.0,30.5,34.0,35.70000076293945,13.39999961899306
342,1929-07-16,21.0283,105.8542,68.0999984741211,7.400000095367432,0,4.0,329.8000183105469,26.5,30.20000076293945,33.90000152587891,34.60000228881836,18.76000022899306
343,1929-08-16,21.0283,105.8542,70.80000305175781,6.300000190734863,0,3.600000143051147,278.1000061035156,26.70000076293945,29.80000114440918,33.0,34.20000076293945,16.89999961899306
344,1929-09-16,21.0283,105.8542,70.5999984741211,5.700000286102295,0,3.299999952316284,359.8999938964844,25.80000114440918,28.60000038146973,31.5,32.29999923706055,17.44999885599537
345,1929-10-16,21.0283,105.8542,63.5,6.700000286102295,0,3.0,56.20000076293945,22.89999961853027,26.20000076293945,29.60000038146973,27.20000076293945,7.899999618993055
346,1929-11-16,21.0283,105.8542,69.4000015258789,6.099999904632568,0,2.100000143051147,34.10000228881836,18.5,21.5,24.60000038146973,21.0,6.5
347,1929-12-16,21.0283,105.8542,60.70000076293945,7.599999904632568,0,2.200000047683716,17.10000038146973,16.20000076293945,20.0,23.80000114440918,17.20000076293945,6.23999977099537
348,1930-01-16,21.0283,105.8542,73.5999984741211,6.0,0,1.700000047683716,19.70000076293945,11.80000019073486,14.80000019073486,17.80000114440918,14.0,10.93999958
349,1930-02-15,21.0283,105.8542,71.20000457763672,6.700000286102295,0,2.400000095367432,33.10000228881836,15.40000057220459,18.70000076293945,22.10000038146973,16.60000038146973,13.13999939
350,1930-03-16,21.0283,105.8542,83.4000015258789,4.700000286102295,0,2.200000047683716,48.20000076293945,17.5,19.80000114440918,22.20000076293945,20.39999961853027,16.39999961899306
351,1930-04-16,21.0283,105.8542,74.5,6.200000286102295,0,3.400000095367432,111.3000030517578,23.20000076293945,26.30000114440918,29.39999961853027,27.0,14.42000007599537
352,1930-05-16,21.0283,105.8542,71.4000015258789,6.5,0,3.700000047683716,243.3000030517578,25.39999961853027,28.60000038146973,31.89999961853027,32.60000228881836,16.54999923699074
353,1930-06-16,21.0283,105.8542,72.9000015258789,7.5,0,3.799999952316284,249.9000091552734,26.39999961853027,30.10000038146973,33.90000152587891,35.0,15.78999996199074
354,1930-07-16,21.0283,105.8542,68.0,5.700000286102295,0,4.099999904632568,226.4000091552734,27.89999961853027,30.70000076293945,33.60000228881836,34.20000076293945,15.82999992399306
355,1930-08-16,21.0283,105.8542,70.0999984741211,6.800000190734863,0,3.600000143051147,288.8999938964844,26.20000076293945,29.60000038146973,33.0,34.29999923706055,17.10000038099537
356,1930-09-16,21.0283,105.8542,64.9000015258789,6.5,0,3.400000095367432,187.4000091552734,24.89999961853027,28.10000038146973,31.39999961853027,31.70000076293945,12.59999942799768
357,1930-10-16,21.0283,105.8542,64.4000015258789,6.700000286102295,0,2.799999952316284,102.8000030517578,22.0,25.30000114440918,28.70000076293945,26.60000038146973,10.01999950399306
358,1930-11-16,21.0283,105.8542,60.20000076293945,7.5,0,2.400000095367432,53.40000152587891,19.0,22.70000076293945,26.5,21.80000114440918,7.549999713993055
359,1930-12-16,21.0283,105.8542,68.80000305175781,6.300000190734863,0,1.899999976158142,18.60000038146973,16.70000076293945,19.80000114440918,23.0,18.60000038146973,5.61999988599537
360,1931-01-16,21.0283,105.8542,70.0999984741211,6.400000095367432,0,2.0,17.10000038146973,15.0,18.20000076293945,21.39999961853027,16.70000076293945,9.179999351990741
361,1931-02-15,21.0283,105.8542,76.4000015258789,5.700000286102295,0,2.200000047683716,22.5,16.10000038146973,18.89999961853027,21.80000114440918,17.80000114440918,9.80999946599537
362,1931-03-16,21.0283,105.8542,80.4000015258789,5.300000190734863,0,2.5,39.10000228881836,18.89999961853027,21.5,24.20000076293945,21.20000076293945,14.57999992399306
363,1931-04-16,21.0283,105.8542,72.30000305175781,6.700000286102295,0,3.400000095367432,70.30000305175781,23.10000038146973,26.39999961853027,29.80000114440918,28.0,11.51999950399306
364,1931-05-16,21.0283,105.8542,67.9000015258789,7.0,0,4.0,131.6999969482422,26.0,29.5,33.0,33.0,12.22999954199074
365,1931-06-16,21.0283,105.8542,74.70000457763672,6.800000190734863,0,3.799999952316284,248.1000061035156,27.39999961853027,30.80000114440918,34.20000076293945,35.10000228881836,15.69999980899306
366,1931-07-16,21.0283,105.8542,67.4000015258789,7.400000095367432,0,4.0,274.8000183105469,26.30000114440918,30.0,33.70000076293945,34.29999923706055,17.30999946599537
